Name	Version	Channel
centos-logos.noarch	70.0.6-3.el7.centos	@anaconda
centos-release.x86_64	7-6.1810.2.el7.centos	@anaconda
certmonger.x86_64	0.78.4-10.el7	@c7-media
cfitsio.x86_64	3.370-10.el7	@epel
cgdcbxd.x86_64	1.0.2-7.el7	@c7-media
checkpolicy.x86_64	2.5-8.el7	@c7-media
cheese.x86_64	2:3.28.0-1.el7	@c7-media
cheese-libs.x86_64	2:3.28.0-1.el7	@c7-media
chkconfig.x86_64	1.7.4-1.el7	@anaconda
chrony.x86_64	3.2-2.el7	@anaconda
cifs-utils.x86_64	6.2-10.el7	@c7-media
cjkuni-uming-fonts.noarch	0.2.20080216.1-53.el7	@c7-media
clutter.x86_64	1.26.2-2.el7	@c7-media
clutter-gst2.x86_64	2.0.18-1.el7	@c7-media
clutter-gst3.x86_64	3.0.26-1.el7	@c7-media
clutter-gtk.x86_64	1.8.4-1.el7	@c7-media
cogl.x86_64	1.22.2-2.el7	@c7-media
color-filesystem.noarch	1-13.el7	@c7-media
colord.x86_64	1.3.4-1.el7	@c7-media
colord-gtk.x86_64	0.1.25-4.el7	@c7-media
colord-libs.x86_64	1.3.4-1.el7	@c7-media
compat-cheese314.x86_64	3.14.2-1.el7	@c7-media
compat-gnome-desktop314.x86_64	3.14.2-1.el7	@c7-media
compat-libcolord1.x86_64	1.0.4-1.el7	@c7-media
compat-libical1.x86_64	1.0.1-2.el7	@c7-media
composer.noarch	1.10.5-1.el7	@epel
container-selinux.noarch	2:2.99-1.el7_6	@extras
container-storage-setup.noarch	0.11.0-2.git5eaf76c.el7	@extras
containerd.io.x86_64	1.2.13-3.2.el7	@docker-ce-stable
containers-common.x86_64	1:0.1.35-2.git404c5bd.el7.centos	@extras
control-center.x86_64	1:3.28.1-4.el7	@c7-media
control-center-filesystem.x86_64	1:3.28.1-4.el7	@c7-media
copy-jdk-configs.noarch	3.3-10.el7_5	@c7-media
coreutils.x86_64	8.22-23.el7	@anaconda
cpio.x86_64	2.11-27.el7	@anaconda
cpp.x86_64	4.8.5-39.el7	@base
cracklib.x86_64	2.9.0-11.el7	@anaconda
cracklib-dicts.x86_64	2.9.0-11.el7	@anaconda
crash.x86_64	7.2.3-8.el7	@c7-media
crash-gcore-command.x86_64	1.3.1-0.el7	@c7-media
crash-ptdump-command.x86_64	1.0.3-2.el7	@c7-media
crash-trace-command.x86_64	2.0-14.el7	@c7-media
crda.x86_64	3.18_2018.05.31-4.el7	@c7-media
createrepo.noarch	0.9.9-28.el7	@c7-media
cronie.x86_64	1.4.11-19.el7	@anaconda
cronie-anacron.x86_64	1.4.11-19.el7	@anaconda
crontabs.noarch	1.11-6.20121102git.el7	@anaconda
crypto-utils.x86_64	2.4.1-42.el7	@c7-media
cryptsetup.x86_64	2.0.3-3.el7	@c7-media
cryptsetup-libs.x86_64	2.0.3-3.el7	@anaconda
cryptsetup-python.x86_64	2.0.3-3.el7	@c7-media
cscope.x86_64	15.8-10.el7	@base
ctags.x86_64	5.8-13.el7	@base
cups.x86_64	1:1.6.3-35.el7	@c7-media
cups-client.x86_64	1:1.6.3-35.el7	@c7-media
cups-filesystem.noarch	1:1.6.3-35.el7	@c7-media
cups-filters.x86_64	1.0.35-26.el7_7.1	@base
cups-filters-libs.x86_64	1.0.35-26.el7_7.1	@base
cups-libs.x86_64	1:1.6.3-35.el7	@c7-media
cups-pk-helper.x86_64	0.2.6-2.el7	@c7-media
curl.x86_64	7.29.0-57.el7	@base
cyrus-sasl.x86_64	2.1.26-23.el7	@c7-media
cyrus-sasl-gssapi.x86_64	2.1.26-23.el7	@c7-media
cyrus-sasl-lib.x86_64	2.1.26-23.el7	@anaconda
cyrus-sasl-md5.x86_64	2.1.26-23.el7	@c7-media
cyrus-sasl-plain.x86_64	2.1.26-23.el7	@c7-media
cyrus-sasl-scram.x86_64	2.1.26-23.el7	@c7-media
dapl.x86_64	2.1.10mlnx-OFED.3.4.2.1.0.45101	installed
dapl-devel.x86_64	2.1.10mlnx-OFED.3.4.2.1.0.45101	installed
dapl-devel-static.x86_64	2.1.10mlnx-OFED.3.4.2.1.0.45101	installed
dapl-utils.x86_64	2.1.10mlnx-OFED.3.4.2.1.0.45101	installed
daxctl-libs.x86_64	62-1.el7	@c7-media
dbus.x86_64	1:1.10.24-13.el7_6	@base
dbus-devel.x86_64	1:1.10.24-13.el7_6	@base
dbus-glib.x86_64	0.100-7.el7	@anaconda
dbus-libs.x86_64	1:1.10.24-13.el7_6	@base
dbus-python.x86_64	1.1.1-9.el7	@anaconda
dbus-x11.x86_64	1:1.10.24-13.el7_6	@base
dconf.x86_64	0.28.0-4.el7	@c7-media
debconf.noarch	1.5.73-2.el7	@epel
dejavu-fonts-common.noarch	2.33-6.el7	@c7-media
